vote_number,senator_number,vote
233,2,Yea
233,3,Nay
233,4,Yea
233,5,Yea
233,6,Nay
233,7,Yea
233,8,Nay
233,9,Yea
233,10,Yea
233,11,Nay
233,12,Nay
233,13,Yea
233,14,Nay
233,15,Nay
233,16,Nay
233,17,Nay
233,18,Nay
233,19,Yea
233,20,Yea
233,21,Nay
233,22,Yea
233,23,Nay
233,24,Yea
233,25,Nay
233,26,Nay
233,27,Yea
233,28,Nay
233,29,Nay
233,30,Yea
233,31,Yea
233,32,Yea
233,33,Yea
233,34,Nay
233,35,Nay
233,36,Not Voting
233,37,Yea
233,38,Nay
233,39,Nay
233,40,Yea
233,41,Yea
233,42,Nay
233,43,Nay
233,44,Nay
233,45,Yea
233,46,Yea
233,47,Yea
233,48,Nay
233,49,Nay
232,0,Nay
232,1,Nay
232,2,Yea
232,3,Nay
232,4,Yea
232,5,Yea
232,6,Nay
232,7,Yea
232,8,Nay
232,9,Yea
232,10,Yea
232,11,Nay
232,12,Nay
232,13,Yea
232,14,Nay
232,15,Nay
232,16,Yea
232,17,Nay
232,18,Nay
232,19,Yea
232,20,Yea
232,21,Nay
232,22,Yea
232,23,Nay
232,24,Yea
232,25,Nay
232,26,Nay
232,27,Yea
232,28,Nay
232,29,Nay
232,30,Yea
232,31,Yea
232,32,Yea
232,33,Yea
232,34,Nay
232,35,Nay
232,36,Not Voting
232,37,Yea
232,38,Nay
232,39,Nay
232,40,Yea
232,41,Yea
232,42,Nay
232,43,Nay
232,44,Nay
232,45,Yea
232,46,Yea
232,47,Yea
232,48,Nay
232,49,Nay
231,0,Nay
231,1,Nay
231,2,Yea
231,3,Nay
231,4,Yea
231,5,Yea
231,6,Nay
231,7,Yea
231,8,Nay
231,9,Yea
231,10,Yea
231,11,Nay
231,12,Nay
231,13,Yea
231,14,Nay
231,15,Nay
231,16,Yea
231,17,Nay
231,18,Nay
231,19,Yea
231,20,Yea
231,21,Nay
231,22,Yea
231,23,Nay
231,24,Yea
231,25,Nay
231,26,Nay
231,27,Yea
231,28,Nay
231,29,Nay
231,30,Not Voting
231,31,Yea
231,32,Not Voting
231,33,Yea
231,34,Nay
231,35,Nay
231,36,Not Voting
231,37,Yea
231,38,Nay
231,39,Nay
231,40,Yea
231,41,Yea
231,42,Not Voting
231,43,Nay
231,44,Nay
231,45,Yea
231,46,Yea
231,47,Yea
231,48,Nay
231,49,Nay
230,0,Nay
230,1,Not Voting
230,2,Yea
230,3,Nay
230,4,Yea
230,5,Yea
230,6,Nay
230,7,Yea
230,8,Nay
230,9,Yea
230,10,Yea
230,11,Nay
230,12,Nay
230,13,Yea
230,14,Nay
230,15,Nay
230,16,Nay
230,17,Nay
230,18,Yea
230,19,Yea
230,50,Not Voting
230,51,Nay
230,52,Yea
230,53,Yea
230,54,Nay
230,55,Yea
230,56,Nay
230,57,Nay
230,58,Not Voting
230,29,Nay
230,30,Nay
230,31,Yea
230,32,Yea
230,33,Yea
230,34,Nay
230,35,Not Voting
230,36,Nay
230,37,Nay
230,38,Nay
230,39,Yea
230,40,Yea
230,41,Yea
230,42,Nay
230,43,Nay
230,44,Nay
230,45,Yea
230,46,Yea
230,47,Yea
230,48,Nay
230,49,Nay
229,0,Nay
229,1,Nay
229,2,Yea
229,3,Nay
229,4,Yea
229,5,Yea
229,6,Nay
229,7,Yea
229,8,Nay
229,9,Yea
229,10,Yea
229,11,Nay
229,12,Nay
229,13,Yea
229,14,Nay
229,15,Nay
229,16,Yea
229,17,Yea
